На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
8.62,33.466,2215.48,62200,62100,62000,ВОЛГОГРАД,Круг Ст45,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
10.38,33.466,2215.48,63200,63100,63000,ИЖЕВСК,Круг Ст45,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
17.89,33.577,2172.46,60200,60100,60000,ЛОБНЯ,Круг Ст45,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
0.93,335.509,22042.95,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,95мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
5.38,33.411,4577.31,133000,132890,132890,ВОЛГОГРАД,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.90,33.522,4250.59,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.20,29.304,3604.39,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.30,22.477,2697.30,115000,114890,114890,УФА,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.56,35.797,4539.12,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.31,22.080,4073.76,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,30 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4
5.79,2636.589,364376.66,138200,138100,138000,ИЖЕВСК,Круг Ст09Г2С,310мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,4.45
0.04,0.000,0.00,94600,94600,94600,ИЖЕВСК,Круг Ст09Г2С,310мм.,3ГП,А,Круг,0.07
13.35,334.953,25419.57,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,95мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.02
6.71,2749.154,423369.65,154000,154000,154000,ЧЕЛЯБИНСК,Круг ст18ХГТ,310мм,,ТУ14-1-2118-98 4543-2016 3ГП,Круг,4.64
4.66,2666.205,352205.68,132100,132000,131900,ВОЛГОГРАД,Круг Ст20,310мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.5
7.33,2689.905,363406.11,135100,135000,134900,ИЖЕВСК,Круг Ст20,310мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.54
18.09,2950.600,389774.29,132100,132000,131900,ЛОБНЯ,Круг Ст20,310мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.98
5.15,336.622,27229.35,79890,79890,79890,ИЖЕВСК,Круг ст30ХГСА,95мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
1.40,335.509,21875.20,64200,64100,64000,ИЖЕВСК,Круг Ст35,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
04.06,33.300,4495.50,131000,129890,129890,ВОЛГОГРАД,Круг Ст45 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.33,30.247,3563.16,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.68,29.970,3626.37,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.39,30.525,3571.42,113000,111890,111890,УФА,Круг Ст45 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.26,33.855,3988.12,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.73,26.789,3139.72,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,30мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.84
5.87,29.998,3515.79,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,30мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.1
2.35,28.839,2687.81,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,30мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.2
5.88,27.785,2617.39,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,30мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,05.01
0.10,33.294,12813.20,381850,381850,381850,ЕКАТЕРИНБУРГ,Круг СтХВГ,30,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,6
4.25,28.560,11395.44,395000,395000,395000,ЧЕЛЯБИНСК,Круг СтХВГ,30,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.1
1.82,1425.785,202461.41,142000,142000,142000,ИЖЕВСК,Круг ст30ХГСА,300мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,2.57
1.91,1913.991,250522.28,130890,130890,130890,ВОЛГОГРАД,Круг ст30ХГСА,300мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,3.45
9.64,1464.619,207975.93,142000,142000,142000,ИЖЕВСК,Круг ст30ХГСА,300мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,2.64
0.55,550.000,77275.06,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,300мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,0.99
08.06,2729.518,381586.56,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,300мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.92
3.67,1156.138,180461.53,156090,155990,155890,ЧЕЛЯБИНСК,Круг Ст9ХС,290мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.25
12.68,2818.282,364122.09,129200,129100,129000,ИЖЕВСК,Круг Ст09Г2С,300мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,05.08
4.14,2701.779,383652.56,142000,142000,142000,ИЖЕВСК,Круг ст18ХГТ,300мм,,ТУ14-1-2118-98 4543-2016 3ГП,Круг,4.87
5.69,2678.610,374469.75,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,300мм,,ТУ14-1-2118-98 4543-2016 3ГП,Круг,4.75
6.85,2787.600,340365.96,122100,122000,121900,ВОЛГОГРАД,Круг Ст20,300мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,05.05
2.37,2357.815,290247.03,123100,123000,122900,ИЖЕВСК,Круг Ст20,300мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,4.25
4.18,276.888,106961.83,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,95,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.98
3.74,2790.543,343515.89,123100,123000,122900,ИЖЕВСК,Круг Ст45,300мм.,,"ГОСТ 2590-2006,1050 2ГП",Круг,05.03
5.43,2858.147,348979.75,122100,122000,121900,ВОЛГОГРАД,Круг Ст45,300мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050 3ГП,Круг,5.15
5.32,2807.187,345564.70,123100,123000,122900,ИЖЕВСК,Круг Ст45,300мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050 3ГП,Круг,05.06
0.86,393.894,48882.22,123100,123000,122900,ИЖЕВСК,Круг Ст35,300мм.,,"ГОСТ2590-2006, 1050-88",Круг,0.71
5.62,2757.257,336661.03,122100,122000,121900,ЛОБНЯ,Круг Ст35,300мм.,,"ГОСТ2590-2006, 1050-88",Круг,4.97
3.50,1431.900,214498.62,149800,149800,149800,ЧЕЛЯБИНСК,Круг Ст38хс,300мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.58
2.42,2469.234,312851.92,126700,126600,126500,ИЖЕВСК,Круг Ст40Х,300мм,,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.45
5.22,2657.125,332672.11,125200,125100,125000,ВОЛГОГРАД,Круг Ст40Х,300мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.78
20.20,2829.908,358549.39,126700,126600,126500,ИЖЕВСК,Круг Ст40Х,300мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.1
11.52,2846.555,356388.67,125200,125100,125000,ЛОБНЯ,Круг Ст40Х,300мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.13
1.97,26.372,3111.87,113000,111890,111890,УФА,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.69,27.048,3213.30,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.06,26.587,3222.34,121200,120890,120890,НОВОСИБИРСК,Круг Ст9ХС,28мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.5
2.76,22.575,2736.07,117200,116890,116890,ЧЕЛЯБИНСК,Круг Ст9ХС,28мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.67
0.38,23.672,2322.21,94100,93990,93990,ИЖЕВСК,Круг СтУ8А,28мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.9
2.89,23.768,2238.99,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,28мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.92
7.26,2757.941,314956.89,114200,114100,114000,ИЖЕВСК,Круг Ст09Г2С,290мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,5.32
1.30,1306.393,182633.77,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,290мм,,"ТУ14-1-2118,2590,4543-16 3ГП",Круг,2.52
1.52,1555.292,166571.75,107100,107000,106900,ВОЛГОГРАД,Круг Ст20,290мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,2.98
0.21,29.077,1953.95,60200,60100,60000,ЛОБНЯ,Круг Ст45,28мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
4.28,27.096,3219.04,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.32,26.468,3202.68,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
13.47,2996.410,337695.38,112700,112600,112500,ИЖЕВСК,Круг Ст40Х,290мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.78
7.79,2790.000,310247.96,111200,111100,111000,ЛОБНЯ,Круг Ст40Х,290мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.37
1.28,1088.661,118772.92,109100,109000,108900,ИЖЕВСК,Круг Ст45,290мм.,,"ГОСТ2590-2006, 1050 2ГП",Круг,2.1
02.06,1589.395,170224.16,107100,107000,106900,ВОЛГОГРАД,Круг Ст45,290мм.,3ГП,"ГОСТ 2590,1050 3ГП",Круг,03.06
5.81,2737.205,298629.04,109100,109000,108900,ИЖЕВСК,Круг Ст45,290мм.,3ГП,"ГОСТ 2590,1050 3ГП",Круг,5.28
6.42,2747.573,294265.07,107100,107000,106900,ЛОБНЯ,Круг Ст45,290мм.,3ГП,"ГОСТ 2590,1050 3ГП",Круг,5.3
6.96,2783.862,303719.31,109100,109000,108900,ИЖЕВСК,Круг Ст20,290мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,5.37
0.30,259.205,28279.27,107100,107000,106900,ЛОБНЯ,Круг Ст20,290мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,0.5
5.36,0.000,0.00,111200,111100,111000,ВОЛГОГРАД,Круг Ст20Х,290мм.,3гп,"ГОСТ 2590-2006, 4543-71",Круг,5.41
8.14,2766.270,386724.55,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,290мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,5.33
6.85,1442.820,204880.44,142000,142000,142000,ИЖЕВСК,Круг ст30ХГСА,290мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,2.78
4.42,2260.268,266937.60,118100,118000,117900,ИЖЕВСК,Круг Ст35,290мм.,,"ГОСТ 2590,1050-88 2ГП",Круг,4.36
5.27,2702.000,289384.18,107100,107000,106900,ЛОБНЯ,Круг Ст35,290мм.,3ГП,"ГОСТ 2590,1050-88",Круг,5.21
3.42,1588.140,222164.90,139890,139890,139890,ЧЕЛЯБИНСК,Круг Ст38хс,290мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,03.06
8.11,2724.149,302925.32,111200,111100,111000,ВОЛГОГРАД,Круг Ст40Х,290мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.14
2.85,33.300,3922.74,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
33.09,335.509,22210.71,65200,65100,65000,ИЖЕВСК,Круг Ст40Х,95мм,3ГП,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
1.70,33.522,2370.01,66200,66100,66000,ВЛАДИКАВКАЗ,Круг Ст3,30мм,(6+нд),ГОСТ 2590,Круг,6
7.94,34.730,2281.76,61700,61600,61500,ВОЛГОГРАД,Круг Ст3,30мм,(6+нд),ГОСТ 2590,Круг,06.04
8.58,33.411,2144.99,61200,61100,61000,ИЖЕВСК,Круг Ст3,30мм,(6+нд),ГОСТ 2590,Круг,06.02
32.36,33.688,2145.96,59200,59100,59000,ЛОБНЯ,Круг Ст3,30мм,(6+нд),ГОСТ 2590,Круг,06.07
0.71,33.522,2168.87,60200,60100,60000,ЛОБНЯ,Круг Ст35,30мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
3.59,33.688,4076.31,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.57,33.744,3914.30,112000,110890,110890,УФА,Круг Ст35 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.04,33.300,3922.74,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
5.93,32.967,2666.70,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,30мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.94
1.98,32.467,2528.89,77890,77890,77890,ТЮМЕНЬ,Круг ст30ХГСА,30мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.85
5.81,32.190,2507.28,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,30мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.8
3.78,28.022,3160.93,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,30мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,05.05
9.68,33.466,2215.48,62200,62100,62000,ВОЛГОГРАД,Круг Ст35,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
8.91,33.522,2219.16,63200,63100,63000,ИЖЕВСК,Круг Ст35,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
12.72,33.466,2165.28,60200,60100,60000,ЛОБНЯ,Круг Ст35,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
11.94,337.197,21479.42,62200,62100,62000,ЛОБНЯ,Круг Ст45,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.06
8.38,33.300,2693.64,77890,77890,77890,ИЖЕВСК,Круг ст18ХГТ,30мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
17.00,2746.161,335306.26,122100,122000,121900,ЛОБНЯ,Круг Ст45,300мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050 3ГП,Круг,4.95
23.14,33.760,2437.49,68200,68100,68000,ВОЛГОГРАД,Круг Ст09Г2С,30мм,,"ГОСТ2590,19281-2014",Круг,06.02
12.21,33.466,2315.88,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,30мм,,"ГОСТ2590,19281-2014",Круг,06.03
13.91,336.084,21912.66,64200,64100,64000,ИЖЕВСК,Круг Ст45,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
3.60,33.300,4495.50,131000,129890,129890,ВОЛГОГРАД,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.07,30.691,3615.46,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.10,33.300,4375.62,126900,126800,126700,ЛОБНЯ,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.26,22.755,2753.35,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.45,35.742,4181.81,113000,111890,111890,УФА,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
12.78,33.466,2215.48,62200,62100,62000,ВОЛГОГРАД,Круг Ст20,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
9.81,33.300,2204.46,63200,63100,63000,ИЖЕВСК,Круг Ст20,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
27.65,33.522,2168.87,60200,60100,60000,ЛОБНЯ,Круг Ст20,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.41,42.994,5202.26,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,34мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.83,38.502,4466.23,112000,110890,110890,УФА,Круг Ст35 калиброванный,34мм,НД,ГОСТ 7417-75,1050-2013,Круг
5.12,43.136,4360.67,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,34мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.05
0.03,28.163,2005.24,66200,66100,66000,ВОЛГОГРАД,Круг Ст40Х,34мм.,,"ГОСТ2590,4543-2016",Круг,3.95
6.87,42.851,2943.88,65700,65600,65500,ИЖЕВСК,Круг Ст40Х,34мм.,,"ГОСТ2590,4543-2016",Круг,06.01
21.52,42.780,2896.21,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,34мм.,,"ГОСТ2590,4543-2016",Круг,6
5.11,299.640,19626.42,64200,64100,64000,ИЖЕВСК,Круг Ст35,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,6
4.31,41.354,3345.13,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,34мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.8
3.89,42.780,3332.13,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,34мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
0.95,42.994,2889.19,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
17.10,43.065,2829.38,62700,62600,62500,ИЖЕВСК,Круг Ст35,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
20.37,42.923,2777.09,60200,60100,60000,ЛОБНЯ,Круг Ст45,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
2.39,1706.842,234178.78,137200,137100,137000,ВОЛГОГРАД,Круг Ст09Г2С,350мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,2.26
10.46,2635.788,364265.85,138200,138100,138000,ИЖЕВСК,Круг Ст09Г2С,350мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,3.49
7.16,301.138,19995.58,65200,65100,65000,ВОЛГОГРАД,Круг Ст35,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
1.98,39.198,5370.19,133000,132890,132890,ВОЛГОГРАД,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.00,40.054,5078.81,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.26,37.773,4646.09,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
02.02,38.842,4622.21,115000,114890,114890,УФА,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
5.62,38.486,4880.00,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
3.50,242.015,26645.85,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,90мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,4.85
3.12,301.138,22853.38,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,90мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.03
3.00,42.994,2889.19,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
8.11,42.423,2787.22,62700,62600,62500,ИЖЕВСК,Круг Ст45,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.95
